company_name,city,state,website,description,services,employee_estimate,project_count,has_trade_program,has_procurement_page,source
Luma Interior Studio,Phoenix,AZ,https://lumainterior.example,"Boutique interior design studio serving luxury residential and hospitality projects. Frequently specifies custom lighting and living room furniture.","interior design;lighting specification;furniture procurement",18,120,yes,yes,manual_research
Desert Staging Co,Scottsdale,AZ,https://desertstaging.example,"Home staging company for premium listings. Needs fast-turn furniture and decor bundles for model homes.","home staging;furniture rental;decor",24,210,no,no,manual_research
Northline Architecture,Denver,CO,https://northlinearch.example,"Commercial architecture firm with hospitality and multi-family portfolio. Works with FF&E partners during procurement phase.","architecture;hospitality design;ffe",45,95,no,yes,directory
Halo Lighting Lab,Los Angeles,CA,https://halolighting.example,"Independent lighting design consultancy for restaurants, hotels, and flagship retail spaces.","lighting design;hospitality;retail design",12,140,no,yes,directory
Oak & Thread Interiors,Dallas,TX,https://oakthread.example,"Residential interior design practice for upper-middle and luxury homes. Maintains preferred vendor list for furniture and lighting.","interior design;residential;vendor sourcing",16,180,yes,no,manual_research
Summit Build Partners,Seattle,WA,https://summitbuild.example,"General contractor focused on tenant improvements and office renovations.","general contracting;construction",85,60,no,no,directory
Aster Hospitality Group,Miami,FL,https://asterhospitality.example,"Hospitality operator launching boutique hotels and short-stay properties. Centralized furnishing purchases.","hospitality operations;procurement;design",70,34,no,yes,manual_research
Bluebeam Auto Repair,Houston,TX,https://bluebeamauto.example,"Neighborhood auto repair and tire service chain.","automotive;repair",40,12,no,no,directory
Cedar & Glass Design,San Diego,CA,https://cedarglass.example,"Interior design + project management for coastal luxury homes. Emphasis on statement lighting and custom furniture.","interior design;project management;lighting",22,130,yes,yes,manual_research
Urban Nest Realty,San Jose,CA,https://urbannestrealty.example,"Real estate brokerage with in-house staging referrals.","real estate;brokerage",31,48,no,no,directory
Mosaic Workplace Studio,Chicago,IL,https://mosaicworkplace.example,"Corporate interior studio specializing in office and coworking fit-outs. Large recurring furniture orders.","commercial interior;workplace strategy;furniture procurement",28,88,no,yes,directory
Everpine Landscaping,Portland,OR,https://everpine.example,"Landscape design and yard maintenance contractor.","landscaping;maintenance",20,75,no,no,directory
Meridian FF&E Advisors,New York,NY,https://meridianffe.example,"FF&E advisory team for hotels and mixed-use developments. Runs structured vendor qualification cycles.","ffe consulting;vendor management;hospitality",26,110,no,yes,manual_research
Luxe Model Homes,Las Vegas,NV,https://luxemodelhomes.example,"Design-build studio for model homes and sales centers. Sources turnkey furniture packages monthly.","model homes;design-build;furniture sourcing",34,102,no,yes,directory
Atlas Property Staging,Atlanta,GA,https://atlasstaging.example,"Regional staging provider serving investors and custom home builders.","staging;furniture logistics;decor",41,260,no,no,manual_research
Noble Care Dentistry,San Francisco,CA,https://noblecare.example,"Dental clinic with two locations.","healthcare;dental",14,9,no,no,directory
Aurora Retail Concepts,Boston,MA,https://auroraretail.example,"Retail concept studio for beauty and lifestyle brands. Needs lighting fixtures and display furniture.","retail design;fixture sourcing;brand environments",19,76,no,yes,directory
Willow Creek Interiors,Charlotte,NC,https://willowcreek.example,"Full-service interior design agency for residential renovations and custom build projects.","interior design;renovation;furniture selection",27,144,yes,no,manual_research
Cobalt Events Group,Nashville,TN,https://cobaltevents.example,"Event production agency, occasional temporary decor sourcing.","events;production",33,58,no,no,directory
Praxis Design Collective,Minneapolis,MN,https://praxiscollective.example,"Interdisciplinary design firm covering hospitality, multifamily, and workplace interiors. Runs procurement for client installations.","interior architecture;hospitality;procurement",38,121,no,yes,manual_research
